x,y,lx,ly,lz,dl,vx,vy,exx,eyy,ezz,exy,eyx,cumexx,cumeyy,cumezz,cumexy,cumeyx,sxx,syy,sxy,syx
245979.709702499,-1543185.13475266,0.006286611624562,0.59255407877446,0.401159309600978,0.586267467149898,56.7437509466098,-2.20732186306805E-07,3.41793451453687E-05,0.000125362734782,-0.000159542079927,-9.21477237120263E-05,-9.21477237120263E-05,0.006483797237456,0.002101241699413,-0.008585038936869,-0.006734614933354,-0.006734614933354,1.35525271560688E-20,1.35525271560688E-20,0.000303580294713,-0.000303580294713
246004.280493744,-1543133.98663941,0.006336265860908,0.592445838827665,0.401217895311427,0.586109572966757,56.7437509466098,-2.20732186306805E-07,3.41793451453687E-05,0.000125362734782,-0.000159542079927,-9.21477237120263E-05,-9.21477237120263E-05,0.006517976582601,0.002226604434195,-0.008744581016796,-0.006826762657066,-0.006826762657066,1.35525271560688E-20,1.35525271560688E-20,0.000303580294713,-0.000303580294713
246028.851284988,-1543082.83852616,0.006432120930167,0.592346148914187,0.401221730155646,0.585914027984019,56.9870112751256,-4.5810664417445E-06,0.000604315502342,-0.000210992560524,-0.000393322941818,-0.000108709250113,-0.000108709250113,0.007122292084943,0.002015611873671,-0.009137903958614,-0.006935471907179,-0.006935471907179,-6.7762635780344E-21,-6.7762635780344E-21,-0.00014863825345,0.00014863825345
246053.461956985,-1543031.43974915,0.006527758697483,0.592246550311877,0.40122569099064,0.585718791614393,56.9870112751256,-4.5810664417445E-06,0.000604315502342,-0.000210992560524,-0.000393322941818,-0.000108709250113,-0.000108709250113,0.007726607587286,0.001804619313146,-0.009531226900432,-0.007044181157292,-0.007044181157292,-6.7762635780344E-21,-6.7762635780344E-21,-0.00014863825345,0.00014863825345
246078.072628982,-1542980.04097214,0.006623163811748,0.592147066246266,0.401229769941986,0.585523902434518,56.9870112751256,-4.5810664417445E-06,0.000604315502342,-0.000210992560524,-0.000393322941818,-0.000108709250113,-0.000108709250113,0.008330923089628,0.001593626752622,-0.00992454984225,-0.007152890407405,-0.007152890407405,-6.7762635780344E-21,-6.7762635780344E-21,-0.00014863825345,0.00014863825345
246102.683300979,-1542928.64219514,0.006718274470792,0.592047750645101,0.401233974884107,0.585329476174309,56.9870112751256,-4.5810664417445E-06,0.000604315502342,-0.000210992560524,-0.000393322941818,-0.000108709250113,-0.000108709250113,0.00893523859197,0.001382634192098,-0.010317872784068,-0.007261599657519,-0.007261599657519,-6.7762635780344E-21,-6.7762635780344E-21,-0.00014863825345,0.00014863825345
246127.293972976,-1542877.24341813,0.006900457973359,0.591674777736823,0.401424764289818,0.584774319763464,57.081484013762,9.28946413125686E-08,0.00078968376355,0.000123673031077,-0.000913356794627,0.00020686557857,0.00020686557857,0.00972492235552,0.001506307223175,-0.011231229578695,-0.007054734078948,-0.007054734078948,-3.3881317890172E-21,-3.3881317890172E-21,4.09831991415E-05,-4.09831991415E-05
246151.909161575,-1542825.74207535,0.007001405061951,0.591516142622054,0.401482452315995,0.584514737560102,57.1006526517486,1.29399600368174E-06,0.00057586344745,-8.82688441221673E-05,-0.000487594603328,-1.8298352586701E-05,-1.8298352586701E-05,0.01030078580297,0.001418038379053,-0.011718824182023,-0.007073032431535,-0.007073032431535,0,0,-6.85834893375E-05,6.85834893375E-05
246176.60478688,-1542774.25799409,0.007102127371916,0.591357629918407,0.401540242709676,0.584255502546491,57.1006526517486,1.29399600368174E-06,0.00057586344745,-8.82688441221673E-05,-0.000487594603328,-1.8298352586701E-05,-1.8298352586701E-05,0.01087664925042,0.001329769534931,-0.012206418785351,-0.007091330784122,-0.007091330784122,0,0,-6.85834893375E-05,6.85834893375E-05
246201.300412185,-1542722.77391282,0.007202624903253,0.591199239625883,0.401598135470863,0.58399661472263,57.1006526517486,1.29399600368174E-06,0.00057586344745,-8.82688441221673E-05,-0.000487594603328,-1.8298352586701E-05,-1.8298352586701E-05,0.011452512697871,0.001241500690809,-0.012694013388679,-0.007109629136708,-0.007109629136708,0,0,-6.85834893375E-05,6.85834893375E-05
